Weather,Temperature (°C),Humidity (%)
Sunny,20.88,36.87
Cloudy,21.18,62.69
Cloudy,15.94,76.78
Sunny,20.12,56.11
Sunny,23.18,42.29
Rainy,10.08,84.32
Rainy,13.67,92.21
Sunny,33.08,45.73
Cloudy,23.62,69.54
Snowy,-5.42,81.45
Sunny,31.71,35.84
Rainy,16.33,86.86
Snowy,-7.85,67.62
Rainy,22.95,86.63
Rainy,24.49,95.73
Cloudy,15.41,63.38
Snowy,1.86,87.58
Sunny,34.15,53.17
Sunny,27.25,47.19
Snowy,1.63,82.65
Cloudy,18.78,50.88
Cloudy,23.38,79.38
Snowy,2.5,73.59
Sunny,22.76,58.71
Snowy,-0.62,57.34
Cloudy,23.79,60.98
Sunny,23.03,38.33
Snowy,1.42,76.0
Snowy,1.68,88.59
Cloudy,18.94,66.68
Cloudy,21.73,73.37
Rainy,10.42,84.01
Sunny,26.87,41.61
Rainy,18.15,79.79
Cloudy,15.18,69.37
Rainy,15.94,77.36
Snowy,4.96,68.26
Sunny,25.54,55.19
Snowy,-6.77,75.81
Sunny,24.54,38.48
Cloudy,18.48,64.49
Cloudy,19.14,75.65
Sunny,26.67,47.9
Snowy,3.09,85.41
Sunny,28.27,40.85
Snowy,-9.51,65.25
Cloudy,23.23,66.14
Rainy,16.03,86.55
Snowy,3.33,85.89
Rainy,16.32,91.83
Snowy,0.19,54.94
Snowy,-0.61,71.85
Sunny,22.83,44.43
Rainy,16.42,74.79
Rainy,12.73,80.18
Rainy,17.84,81.52
Rainy,12.27,73.33
Rainy,18.44,71.57
Sunny,26.38,39.4
Sunny,23.73,34.36
Snowy,3.56,59.3
Rainy,23.91,87.99
Sunny,33.92,55.75
Sunny,23.32,39.52
Cloudy,22.41,52.09
Rainy,13.52,70.87
Sunny,26.65,35.06
Rainy,20.51,77.1
Sunny,25.83,45.06
Cloudy,18.6,55.81
Rainy,18.31,99.97
Sunny,33.1,45.64
Rainy,19.29,89.66
Cloudy,18.34,53.71
Cloudy,17.03,70.67
Snowy,-2.57,87.1
Sunny,23.05,48.92
Rainy,21.86,86.1
Snowy,-9.45,66.55
Rainy,11.92,89.82
Rainy,22.73,84.17
Rainy,11.7,83.55
Rainy,14.24,87.25
Sunny,33.79,48.76
Snowy,-4.38,82.5
Sunny,34.67,55.51
Cloudy,17.86,62.12
Cloudy,17.43,52.29
Sunny,20.93,35.83
Rainy,21.94,78.61
Cloudy,21.48,67.07
Cloudy,22.06,64.55
Snowy,-1.27,80.06
Rainy,21.69,80.53
Cloudy,17.83,75.76
Snowy,-9.11,66.44
Cloudy,24.52,62.85
Snowy,-7.23,78.66
Rainy,11.38,99.62
Rainy,12.73,72.21
